jersey_number,position,name,dob,nation,nation_code,club,club_country,height_cm,caps,int_goals,c2425_matches,c2425_starts,c2425_minutes,c2425_nineties,c2425_goals,c2425_assists,c2425_pens_scored,c2425_pens_att,c2425_yellows,c2425_reds,c2425_shots,c2425_shots_on_target,c2425_fouls,c2425_interceptions,c2425_tackles_won,c2425_own_goals,c2425_pens_won,c2425_pens_conceded,c2425_match_score,c2425_matched_player,c2526_matches,c2526_starts,c2526_minutes,c2526_nineties,c2526_goals,c2526_assists,c2526_pens_scored,c2526_pens_att,c2526_yellows,c2526_reds,c2526_shots,c2526_shots_on_target,c2526_fouls,c2526_interceptions,c2526_tackles_won,c2526_own_goals,c2526_pens_won,c2526_pens_conceded,c2526_match_score,c2526_matched_player,i2018_matches,i2018_starts,i2018_minutes,i2018_nineties,i2018_goals,i2018_assists,i2018_pens_scored,i2018_pens_att,i2018_yellows,i2018_reds,i2018_shots,i2018_shots_on_target,i2018_fouls,i2018_interceptions,i2018_tackles_won,i2018_own_goals,i2018_pens_won,i2018_pens_conceded,i2018_match_score,i2018_matched_player,i2022_matches,i2022_starts,i2022_minutes,i2022_nineties,i2022_goals,i2022_assists,i2022_pens_scored,i2022_pens_att,i2022_yellows,i2022_reds,i2022_shots,i2022_shots_on_target,i2022_fouls,i2022_interceptions,i2022_tackles_won,i2022_own_goals,i2022_pens_won,i2022_pens_conceded,i2022_match_score,i2022_matched_player
24,DF,MENDY Antoine Antoine Alpha MENDY A. MENDY,27/05/2004,Senegal,SEN,OGC Nice,FRA,187,7,0,18.0,8.0,825.0,9.2,0.0,0.0,0.0,0.0,2.0,0.0,9.0,1.0,13.0,7.0,20.0,0.0,,,100.0,Antoine Mendy,25.0,24.0,2097.0,23.3,1.0,0.0,0.0,0.0,5.0,0.0,17.0,7.0,30.0,19.0,35.0,0.0,,,100.0,Antoine Mendy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,DF,DIOUF El Hadji Malick El Hadji Malick DIOUF DIOUF,29/12/2004,Senegal,SEN,West Ham United FC,ENG,177,22,1,,,,,,,,,,,,,,,,,,,,,32.0,30.0,2707.0,30.1,0.0,5.0,0.0,0.0,6.0,0.0,18.0,4.0,28.0,32.0,19.0,0.0,,,100.0,El Hadji Malick Diouf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,MF,GUEYE Pape Pape Alassane GUEYE GUEYE,24/01/1999,Senegal,SEN,Villarreal CF,ESP,189,44,6,34.0,26.0,2224.0,24.7,4.0,0.0,0.0,0.0,6.0,2.0,54.0,17.0,31.0,23.0,28.0,0.0,,,100.0,Pape Gueye,30.0,26.0,2131.0,23.7,5.0,2.0,1.0,1.0,8.0,0.0,47.0,13.0,35.0,35.0,22.0,0.0,,,100.0,Pape Gueye,,,,,,,,,,,,,,,,,,,,,3.0,1.0,153.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,3.0,2.0,2.0,0.0,,,100.0,Pape Gueye
1,GK,WILLIAMS Ronwen Ronwen Hayden WILLIAMS WILLIAMS,21/01/1992,South Africa,RSA,Mamelodi Sundowns FC,RSA,184,67,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,DF,MATULUDI Thabang Tholo Thabang MATULUDI MATULUDI,14/01/1999,South Africa,RSA,Polokwane City FC,RSA,189,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,DF,NDAMANE Khulumani Khulumani NDAMANE NDAMANE,05/02/2004,South Africa,RSA,Mamelodi Sundowns FC,RSA,183,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,MF,MOKOENA Teboho Teboho MOKOENA MOKOENA,24/01/1997,South Africa,RSA,Mamelodi Sundowns FC,RSA,177,59,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,MF,MBATHA Thalente Thalente Wandile MBATHA MBATHA,06/03/2000,South Africa,RSA,Orlando Pirates FC,RSA,179,19,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,DF,MODIBA Aubrey Aubrey Maphosa MODIBA MODIBA,22/07/1995,South Africa,RSA,Mamelodi Sundowns FC,RSA,171,51,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,FW,APPOLLIS Oswin Oswin Reagan APPOLLIS APPOLLIS,25/08/2001,South Africa,RSA,Orlando Pirates FC,RSA,171,30,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,FW,MOREMI Tshepang Tshepang MOREMI MOREMI,02/10/2000,South Africa,RSA,Orlando Pirates FC,RSA,169,11,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,FW,FOSTER Lyle Lyle Brent FOSTER FOSTER,03/09/2000,South Africa,RSA,Burnley FC,ENG,185,32,10,,,,,,,,,,,,,,,,,,,,,26.0,15.0,1371.0,15.2,3.0,2.0,0.0,0.0,4.0,0.0,20.0,6.0,22.0,4.0,12.0,0.0,,,100.0,Lyle Foster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,FW,MOFOKENG Relebohile Relebohile MOFOKENG MOFOKENG,23/10/2004,South Africa,RSA,Orlando Pirates FC,RSA,168,16,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,MF,ZWANE Themba Themba ZWANE ZWANE,03/08/1989,South Africa,RSA,Mamelodi Sundowns FC,RSA,178,56,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,FW,MASEKO Thapelo Thapelo MASEKO MASEKO,11/11/2003,South Africa,RSA,AEL Limassol,CYP,178,10,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,MF,SITHOLE Sphephelo Sphephelo S'miso SITHOLE SITHOLE,03/03/1999,South Africa,RSA,CD Tondela,POR,197,31,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,DF,MBOKAZI Mbekezeli Mbekezeli Mfanu,19/09/2005,South Africa,RSA,Chicago Fire FC,USA,177,13,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,FW,RAYNERS Iqraam Iqraam RAYNERS RAYNERS,19/12/1995,South Africa,RSA,Mamelodi Sundowns FC,RSA,174,23,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,GK,CHAINE Sipho Sipho Justin CHAINE CHAINE,14/12/1996,South Africa,RSA,Orlando Pirates FC,RSA,186,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,FW,MAKGOPA Evidence Sekotori Evidence MAKGOPA MAKGPA,05/06/2000,South Africa,RSA,Orlando Pirates FC,RSA,183,30,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,DF,KABINI Samukele Samukele Alucious KABINI KABINI,15/03/2004,South Africa,RSA,Molde FK,NOR,179,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,DF,SIBISI Nkosinathi Nkosinathi Emmanuel SIBISI SIBISI,22/09/1995,South Africa,RSA,Orlando Pirates FC,RSA,172,22,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,DF,MUDAU Khuliso Khuliso Johnson MUDAU MUDAU,26/04/1995,South Africa,RSA,Mamelodi Sundowns FC,RSA,179,37,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,DF,OKON Ime Ime Daniel OKON OKON,20/02/2004,South Africa,RSA,Hannover 96,GER,187,11,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,GK,GOSS Ricardo Stuart Ricardo GOSS GOSS,02/04/1994,South Africa,RSA,Siwelele FC,RSA,181,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,MF,ADAMS Jayden Jayden Oswin ADAMS ADAMS,05/05/2001,South Africa,RSA,Mamelodi Sundowns FC,RSA,177,11,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,DF,MAKHANYA Olwethu Olwethu Mpilwenhle MAKHANYA MAKHANYA,30/04/2004,South Africa,RSA,Philadelphia Union,USA,185,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,FW,SEBELEBELE Kamogelo Kamogelo Michael SEBELEBELE SEBELEBELE,21/07/2002,South Africa,RSA,Orlando Pirates FC,RSA,166,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,DF,CROSS Bradley Bradley Paul CROSS CROSS,30/01/2001,South Africa,RSA,Kaizer Chiefs FC,RSA,175,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,GK,RAYA David David RAYA MARTÍN RAYA,15/09/1995,Spain,ESP,Arsenal FC,ENG,186,13,0,38.0,38.0,3420.0,38.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,100.0,David Raya,37.0,37.0,3330.0,37.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,,,100.0,David Raya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,David Raya
2,DF,PUBILL Marc Marc PUBILL PAGES MARC PUBILL,20/06/2003,Spain,ESP,Atlético De Madrid,ESP,191,2,0,,,,,,,,,,,,,,,,,,,,,19.0,15.0,1381.0,15.3,1.0,1.0,0.0,0.0,2.0,0.0,11.0,4.0,16.0,18.0,15.0,0.0,,,100.0,Marc Pubill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,DF,GRIMALDO Alex Alejandro GRIMALDO GARCÍA GRIMALDO,20/09/1995,Spain,ESP,Bayer 04 Leverkusen,GER,171,14,0,32.0,31.0,2636.0,29.3,2.0,7.0,0.0,0.0,6.0,1.0,44.0,14.0,15.0,17.0,15.0,0.0,,,100.0,Álex Grimaldo,29.0,29.0,2521.0,28.0,8.0,7.0,3.0,3.0,5.0,0.0,61.0,21.0,11.0,18.0,25.0,0.0,,,100.0,Álex Grimaldo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,DF,GARCIA Eric Eric GARCÍA MARTRET ERIC,09/01/2001,Spain,ESP,FC Barcelona,ESP,183,21,0,29.0,14.0,1566.0,17.4,2.0,3.0,0.0,0.0,4.0,0.0,14.0,8.0,20.0,18.0,21.0,0.0,,,100.0,Eric García,34.0,32.0,2721.0,30.2,1.0,1.0,0.0,0.0,6.0,0.0,25.0,7.0,33.0,50.0,44.0,0.0,,,100.0,Eric García,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,Eric García
5,DF,LLORENTE Marcos Marcos LLORENTE MORENO M. LLORENTE,30/01/1995,Spain,ESP,Atlético De Madrid,ESP,183,25,0,33.0,28.0,2513.0,27.9,2.0,4.0,0.0,0.0,0.0,1.0,16.0,5.0,23.0,27.0,52.0,0.0,,,100.0,Marcos Llorente,29.0,25.0,2181.0,24.2,0.0,4.0,0.0,0.0,7.0,1.0,18.0,6.0,28.0,13.0,41.0,0.0,,,100.0,Marcos Llorente,,,,,,,,,,,,,,,,,,,,,1.0,1.0,120.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,,,100.0,Marcos Llorente
6,MF,MERINO Mikel Mikel MERINO ZAZÓN MERINO,22/06/1996,Spain,ESP,Arsenal FC,ENG,188,45,10,28.0,17.0,1586.0,17.6,7.0,2.0,0.0,0.0,4.0,1.0,38.0,15.0,41.0,16.0,28.0,0.0,,,100.0,Mikel Merino,22.0,10.0,1036.0,11.5,4.0,3.0,0.0,0.0,1.0,0.0,22.0,8.0,22.0,9.0,13.0,0.0,,,100.0,Mikel Merino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,FW,TORRES Ferran Ferran TORRES GARCÍA FERRAN,29/02/2000,Spain,ESP,FC Barcelona,ESP,183,59,24,27.0,12.0,1106.0,12.3,10.0,6.0,0.0,0.0,1.0,1.0,48.0,22.0,5.0,4.0,5.0,0.0,,,100.0,Ferrán Torres,33.0,23.0,1965.0,21.8,16.0,2.0,0.0,0.0,2.0,0.0,69.0,37.0,13.0,4.0,6.0,0.0,,,100.0,Ferrán Torres,,,,,,,,,,,,,,,,,,,,,4.0,3.0,217.0,2.4,2.0,0.0,1.0,1.0,0.0,0.0,4.0,2.0,1.0,0.0,0.0,0.0,,,100.0,Ferrán Torres
8,MF,RUIZ Fabian Fabian RUIZ PEÑA FABIÁN,03/04/1996,Spain,ESP,Paris Saint-Germain,FRA,188,44,6,30.0,21.0,1923.0,21.4,4.0,5.0,0.0,0.0,1.0,0.0,43.0,12.0,6.0,16.0,24.0,0.0,,,100.0,Fabián Ruiz Peña,20.0,13.0,1131.0,12.6,1.0,4.0,0.0,0.0,2.0,0.0,19.0,4.0,2.0,17.0,11.0,0.0,,,100.0,Fabián Ruiz Peña,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,MF,GAVI Pablo PAEZ GAVIRA GAVI,05/08/2004,Spain,ESP,FC Barcelona,ESP,173,31,5,26.0,14.0,1085.0,12.1,1.0,1.0,0.0,0.0,4.0,0.0,11.0,1.0,38.0,10.0,23.0,0.0,,,100.0,Gavi,11.0,7.0,573.0,6.4,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,11.0,3.0,8.0,0.0,,,100.0,Gavi,,,,,,,,,,,,,,,,,,,,,4.0,4.0,284.0,3.2,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,8.0,1.0,3.0,0.0,,,100.0,Gavi
10,FW,OLMO Dani Daniel OLMO CARVAJAL OLMO,07/05/1998,Spain,ESP,FC Barcelona,ESP,179,52,12,25.0,13.0,1212.0,13.5,10.0,3.0,2.0,2.0,1.0,0.0,42.0,17.0,21.0,5.0,11.0,0.0,,,100.0,Dani Olmo,33.0,24.0,2067.0,23.0,7.0,8.0,0.0,0.0,1.0,0.0,70.0,21.0,27.0,14.0,23.0,0.0,,,100.0,Dani Olmo,3.0,2.0,231.0,2.6,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,3.0,0.0,0.0,0.0,100.0,Dani Carvajal,2.0,1.0,135.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,,,100.0,Dani Carvajal
11,FW,PINO Yeremy Yeremy Jesús PINO SANTOS YEREMY,20/10/2002,Spain,ESP,Crystal Palace FC,ENG,174,24,4,34.0,25.0,1934.0,21.5,4.0,7.0,0.0,0.0,11.0,0.0,29.0,9.0,49.0,10.0,33.0,0.0,,,100.0,Yéremy Pino,34.0,26.0,2080.0,23.1,2.0,2.0,0.0,0.0,4.0,0.0,45.0,11.0,30.0,8.0,20.0,0.0,,,100.0,Yéremy Pino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,Yéremy Pino
12,DF,PORRO Pedro Pedro Antonio PORRO SAUCEDA PEDRO PORRO,13/09/1999,Spain,ESP,Tottenham Hotspur FC,ENG,173,19,0,33.0,28.0,2610.0,29.0,2.0,6.0,0.0,0.0,5.0,0.0,39.0,8.0,25.0,31.0,45.0,0.0,,,100.0,Pedro Porro,34.0,32.0,2796.0,31.1,1.0,2.0,0.0,0.0,10.0,0.0,32.0,8.0,32.0,31.0,50.0,0.0,,,100.0,Pedro Porro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,GK,GARCIA Joan Joan GARCIA PONS JOAN GARCIA,04/05/2001,Spain,ESP,FC Barcelona,ESP,194,2,0,38.0,38.0,3420.0,38.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,,,100.0,Joan García,30.0,30.0,2700.0,30.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,,,100.0,Joan García,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,DF,LAPORTE Aymeric Aymeric LAPORTE FEVRE LAPORTE,27/05/1994,Spain,ESP,Athletic Club,ESP,191,48,2,,,,,,,,,,,,,,,,,,,,,25.0,24.0,2058.0,22.9,0.0,1.0,0.0,0.0,4.0,0.0,15.0,5.0,9.0,27.0,17.0,0.0,,,100.0,Aymeric Laporte,,,,,,,,,,,,,,,,,,,,,3.0,3.0,300.0,3.3,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,2.0,0.0,0.0,,,100.0,Aymeric Laporte
15,MF,BAENA Alex Alejandro BAENA RODRÍGUEZ ALEX B.,20/07/2001,Spain,ESP,Atlético De Madrid,ESP,172,18,2,32.0,30.0,2595.0,28.8,7.0,9.0,0.0,1.0,9.0,0.0,70.0,18.0,43.0,23.0,16.0,0.0,,,100.0,Álex Baena,27.0,21.0,1560.0,17.3,2.0,3.0,0.0,0.0,5.0,0.0,29.0,7.0,26.0,16.0,11.0,0.0,,,100.0,Álex Baena,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,MF,RODRI Rodrigo HERNÁNDEZ CASCANTE RODRIGO,22/06/1996,Spain,ESP,Manchester City FC,ENG,190,64,4,3.0,1.0,73.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,,,100.0,Rodri,21.0,17.0,1511.0,16.8,1.0,0.0,0.0,0.0,3.0,0.0,16.0,3.0,14.0,12.0,25.0,0.0,,,100.0,Rodri,3.0,0.0,26.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,Rodrigo,4.0,4.0,390.0,4.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,3.0,2.0,0.0,,,100.0,Rodri
17,FW,WILLIAMS Nico Nicholas WILLIAMS ARTHUER WILLIAMS JR.,12/07/2002,Spain,ESP,Athletic Club,ESP,181,32,6,29.0,22.0,1996.0,22.2,5.0,5.0,0.0,0.0,1.0,0.0,54.0,19.0,17.0,7.0,19.0,0.0,,,100.0,Nico Williams,25.0,20.0,1674.0,18.6,6.0,3.0,1.0,2.0,2.0,0.0,46.0,16.0,26.0,7.0,9.0,0.0,,,100.0,Nico Williams,,,,,,,,,,,,,,,,,,,,,4.0,1.0,146.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,,,100.0,Nico Williams
18,MF,ZUBIMENDI Martin Martin ZUBIMENDI IBAÑEZ ZUBIMENDI,02/02/1999,Spain,ESP,Arsenal FC,ENG,181,26,3,36.0,33.0,2962.0,32.9,2.0,1.0,0.0,0.0,6.0,0.0,24.0,8.0,44.0,42.0,41.0,0.0,,,100.0,Martín Zubimendi,38.0,34.0,2992.0,33.2,5.0,1.0,0.0,0.0,4.0,0.0,27.0,9.0,33.0,39.0,39.0,0.0,,,100.0,Martín Zubimendi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,FW,YAMAL Lamine Lamine Yamal NASRAOUI EBANA LAMINE YAMAL,13/07/2007,Spain,ESP,FC Barcelona,ESP,183,27,7,35.0,31.0,2856.0,31.7,9.0,13.0,0.0,0.0,3.0,0.0,144.0,47.0,30.0,15.0,29.0,0.0,,,100.0,Lamine Yamal,28.0,26.0,2262.0,25.1,16.0,11.0,3.0,4.0,1.0,0.0,117.0,37.0,28.0,8.0,20.0,0.0,,,100.0,Lamine Yamal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,MF,PEDRI Pedro GONZÁLEZ LÓPEZ PEDRI,25/11/2002,Spain,ESP,FC Barcelona,ESP,174,43,6,37.0,35.0,2879.0,32.0,4.0,5.0,0.0,0.0,3.0,0.0,24.0,11.0,10.0,29.0,32.0,0.0,,,100.0,Pedri,29.0,23.0,2104.0,23.4,2.0,9.0,0.0,0.0,2.0,1.0,21.0,10.0,9.0,24.0,33.0,0.0,,,100.0,Pedri,,,,,,,,,,,,,,,,,,,,,4.0,4.0,356.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,2.0,0.0,,,100.0,Pedri
21,FW,OYARZABAL Mikel Mikel OYARZABAL UGARTE OYARZABAL,21/04/1997,Spain,ESP,Real Sociedad,ESP,181,55,27,35.0,28.0,2250.0,25.0,9.0,3.0,4.0,4.0,4.0,1.0,43.0,18.0,14.0,4.0,16.0,0.0,,,100.0,Mikel Oyarzabal,34.0,30.0,2710.0,30.1,15.0,4.0,7.0,7.0,3.0,0.0,79.0,36.0,28.0,5.0,20.0,0.0,,,100.0,Mikel Oyarzabal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,DF,CUBARSI Pau Pau CUBARSI I PAREDES CUBARSÍ,22/01/2007,Spain,ESP,FC Barcelona,ESP,183,14,0,35.0,29.0,2618.0,29.1,0.0,3.0,0.0,0.0,3.0,0.0,8.0,0.0,24.0,18.0,24.0,0.0,,,100.0,Pau Cubarsí,31.0,31.0,2703.0,30.0,1.0,0.0,0.0,0.0,3.0,0.0,10.0,2.0,25.0,30.0,28.0,0.0,,,100.0,Pau Cubarsí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,GK,SIMON Unai Unai SIMÓN MENDIBIL UNAI SIMÓN,11/06/1997,Spain,ESP,Athletic Club,ESP,190,60,0,21.0,21.0,1890.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,100.0,Unai Simón,37.0,37.0,3330.0,37.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,100.0,Unai Simón,,,,,,,,,,,,,,,,,,,,,4.0,4.0,390.0,4.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,100.0,Unai Simón
24,DF,CUCURELLA Marc Marc CUCURELLA SASETA CUCURELLA,22/07/1998,Spain,ESP,Chelsea FC,ENG,173,26,1,36.0,33.0,2988.0,33.2,5.0,1.0,0.0,0.0,10.0,1.0,24.0,12.0,37.0,26.0,46.0,0.0,,,100.0,Marc Cucurella,34.0,31.0,2707.0,30.1,1.0,4.0,0.0,0.0,8.0,1.0,20.0,6.0,45.0,28.0,40.0,0.0,,,100.0,Marc Cucurella,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,FW,MUNOZ Victor Victor MUÑOZ VILLANUEVA VICTOR M.V.,13/07/2003,Spain,ESP,CA Osasuna,ESP,173,2,1,2.0,0.0,36.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,,,100.0,Víctor Muñoz,34.0,31.0,2656.0,29.5,6.0,2.0,0.0,0.0,3.0,0.0,81.0,31.0,32.0,10.0,13.0,0.0,,,100.0,Víctor Muñoz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,FW,IGLESIAS Borja Borja IGLESIAS QUINTÁS B. IGLESIAS,17/01/1993,Spain,ESP,RC Celta Vigo,ESP,187,8,0,37.0,24.0,1952.0,21.7,11.0,3.0,0.0,0.0,2.0,0.0,46.0,28.0,40.0,7.0,7.0,0.0,,,100.0,Borja Iglesias,35.0,21.0,1900.0,21.1,14.0,2.0,4.0,4.0,7.0,0.0,46.0,26.0,38.0,0.0,5.0,0.0,,,100.0,Borja Iglesias,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,GK,WIDELL ZETTERSTROM Jacob Jacob Mikael WIDELL ZETTERSTRÖM ZETTERSTRÖM,11/07/1998,Sweden,SWE,Derby County FC,ENG,197,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,DF,LAGERBIELKE Gustaf Gustaf Johan LAGERBIELKE LAGERBIELKE,10/04/2000,Sweden,SWE,SC Braga,POR,193,13,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,DF,LINDELOF Victor Victor Jörgen NILSSON LINDELÖF LINDELÖF,17/07/1994,Sweden,SWE,Aston Villa FC,ENG,187,78,3,16.0,6.0,704.0,7.8,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,7.0,2.0,0.0,,,100.0,Victor Lindelöf,17.0,11.0,948.0,10.5,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,8.0,3.0,0.0,,,100.0,Victor Lindelöf,4.0,4.0,360.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,100.0,Victor Lindelöf,,,,,,,,,,,,,,,,,,,,
4,DF,HIEN Isak Isak Malcolm Kwaku HIEN HIEN,13/01/1999,Sweden,SWE,Atalanta Bergamo,ITA,191,31,0,30.0,27.0,2327.0,25.9,0.0,0.0,0.0,0.0,10.0,0.0,8.0,2.0,36.0,30.0,30.0,0.0,,,100.0,Isak Hien,28.0,20.0,1970.0,21.9,1.0,0.0,0.0,0.0,5.0,0.0,9.0,3.0,36.0,29.0,34.0,1.0,,,100.0,Isak Hien,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
